,,,dt,,CTE,,angle,,,,,
step,139, dt,0.31322, cte,-0.2884, steer angle,0.8165, steer setpt,-0.53543, steer cmd,-0.03222, 
step,140, dt,0.31008, cte,-0.1364, steer angle,0.0926, steer setpt,-2.38885, steer cmd,-0.07638, 
step,141, dt,0.01167, cte,0.0235, steer angle,-0.3692, steer setpt,-5.55116, steer cmd,-0.1707, 
step,142, dt,0.31472, cte,0.0235, steer angle,-0.3692, steer setpt,-5.713, steer cmd,-0.24203, 
step,143, dt,0.0118, cte,0.0106, steer angle,-3.8312, steer setpt,-4.37198, steer cmd,-0.20805, 
step,144, dt,0.0125, cte,-0.0016, steer angle,-5.6145, steer setpt,-4.22678, steer cmd,-0.18233, 
step,145, dt,0.01162, cte,-0.0016, steer angle,-5.6145, steer setpt,-2.48391, steer cmd,-0.12713, 
step,146, dt,0.013, cte,-0.0152, steer angle,-4.1219, steer setpt,-0.42008, steer cmd,-0.07348, 
step,147, dt,0.01494, cte,-0.03, steer angle,-2.7418, steer setpt,-0.22445, steer cmd,-0.04918, 
step,148, dt,0.01322, cte,-0.03, steer angle,-2.7418, steer setpt,-0.36066, steer cmd,-0.01393, 
step,149, dt,0.31348, cte,-0.0452, steer angle,-0.7932, steer setpt,-0.30764, steer cmd,-0.02304, 
step,150, dt,0.01277, cte,-0.2666, steer angle,0.088, steer setpt,2.41164, steer cmd,0.02993, 
step,151, dt,0.01249, cte,-0.2666, steer angle,0.088, steer setpt,2.35197, steer cmd,0.05752, 
step,152, dt,0.01477, cte,-0.2724, steer angle,1.1847, steer setpt,2.34475, steer cmd,0.06463, 
step,153, dt,0.01301, cte,-0.2778, steer angle,1.8744, steer setpt,2.51129, steer cmd,0.07161, 
step,154, dt,0.01272, cte,-0.2778, steer angle,1.8744, steer setpt,2.4302, steer cmd,0.07995, 
step,155, dt,0.01439, cte,-0.2826, steer angle,2.2265, steer setpt,-0.11271, steer cmd,0.02202, 
step,156, dt,0.01411, cte,-0.2869, steer angle,2.4352, steer setpt,-0.045, steer cmd,-0.00804, 
step,157, dt,0.31452, cte,-0.2869, steer angle,2.4352, steer setpt,-0.09871, steer cmd,-0.04418, 
step,158, dt,0.01335, cte,-0.348, steer angle,0.2352, steer setpt,0.5958, steer cmd,-0.01405, 
step,159, dt,0.01169, cte,-0.3515, steer angle,-0.6681, steer setpt,0.67566, steer cmd,0.00712, 
step,160, dt,0.01182, cte,-0.3515, steer angle,-0.6681, steer setpt,0.65609, steer cmd,0.0236, 
step,161, dt,0.0134, cte,-0.3547, steer angle,0.6144, steer setpt,0.68024, steer cmd,0.01375, 
