step,     119, dt,   0.01149, cte,  -0.19050, steer angle,  -0.53900, steer setpt,  -0.65438, steer cmd,  -0.04315, 
step,     120, dt,   0.01365, cte,  -0.19050, steer angle,  -0.53900, steer setpt,  -0.64687, steer cmd,  -0.04443, 
step,     121, dt,   0.01505, cte,  -0.19230, steer angle,  -0.64250, steer setpt,  -0.62835, steer cmd,  -0.04319, 
step,     122, dt,   0.01290, cte,  -0.19440, steer angle,  -0.67440, steer setpt,  -0.59481, steer cmd,  -0.04177, 
step,     123, dt,   0.01277, cte,  -0.19440, steer angle,  -0.67440, steer setpt,  -0.59945, steer cmd,  -0.04089, 
step,     124, dt,   0.01330, cte,  -0.19680, steer angle,  -0.60790, steer setpt,  -0.58008, steer cmd,  -0.04089, 
step,     125, dt,   0.01355, cte,  -0.19960, steer angle,  -0.58590, steer setpt,  -0.53714, steer cmd,  -0.03991, 
step,     126, dt,   0.01259, cte,  -0.19960, steer angle,  -0.58590, steer setpt,  -0.54916, steer cmd,  -0.03954, 
step,     127, dt,   0.01379, cte,  -0.20260, steer angle,  -0.56150, steer setpt,  -0.52890, steer cmd,  -0.03909, 
step,     128, dt,   0.31216, cte,  -0.20590, steer angle,  -0.55220, steer setpt,  -0.47895, steer cmd,  -0.03769, 
step,     129, dt,   0.01016, cte,  -0.28570, steer angle,  -0.54080, steer setpt,   0.47650, steer cmd,  -0.01521, 
step,     130, dt,   0.01315, cte,  -0.29280, steer angle,  -0.50590, steer setpt,   0.57090, steer cmd,  -0.00149, 
step,     131, dt,   0.01368, cte,  -0.29280, steer angle,  -0.50590, steer setpt,   0.61513, steer cmd,   0.01468, 
step,     132, dt,   0.01297, cte,  -0.30000, steer angle,   0.39910, steer setpt,   0.71121, steer cmd,   0.01206, 
step,     133, dt,   0.01471, cte,  -0.30700, steer angle,   0.80330, steer setpt,   0.80346, steer cmd,   0.01116, 
step,     134, dt,   0.01390, cte,  -0.31390, steer angle,   0.73780, steer setpt,  -0.03680, steer cmd,  -0.00582, 
step,     135, dt,   0.31443, cte,  -0.31390, steer angle,   0.73780, steer setpt,  -0.10257, steer cmd,  -0.01661, 
step,     136, dt,   0.01183, cte,  -0.40830, steer angle,   0.29090, steer setpt,   1.06747, steer cmd,   0.00846, 
step,     137, dt,   0.31213, cte,  -0.40830, steer angle,   0.29090, steer setpt,   1.03555, steer cmd,   0.01521, 
step,     138, dt,   0.01151, cte,  -0.29780, steer angle,   0.64790, steer setpt,  -0.34430, steer cmd,  -0.01375, 
step,     139, dt,   0.31322, cte,  -0.28840, steer angle,   0.81650, steer setpt,  -0.53543, steer cmd,  -0.03222, 
step,     140, dt,   0.31008, cte,  -0.13640, steer angle,   0.09260, steer setpt,  -2.38885, steer cmd,  -0.07638, 
step,     141, dt,   0.01167, cte,   0.02350, steer angle,  -0.36920, steer setpt,  -5.55116, steer cmd,  -0.17070, 
step,     142, dt,   0.31472, cte,   0.02350, steer angle,  -0.36920, steer setpt,  -5.71300, steer cmd,  -0.24203, 
step,     143, dt,   0.01180, cte,   0.01060, steer angle,  -3.83120, steer setpt,  -4.37198, steer cmd,  -0.20805, 
step,     144, dt,   0.01250, cte,  -0.00160, steer angle,  -5.61450, steer setpt,  -4.22678, steer cmd,  -0.18233, 
step,     145, dt,   0.01162, cte,  -0.00160, steer angle,  -5.61450, steer setpt,  -2.48391, steer cmd,  -0.12713, 
step,     146, dt,   0.01300, cte,  -0.01520, steer angle,  -4.12190, steer setpt,  -0.42008, steer cmd,  -0.07348, 
step,     147, dt,   0.01494, cte,  -0.03000, steer angle,  -2.74180, steer setpt,  -0.22445, steer cmd,  -0.04918, 
step,     148, dt,   0.01322, cte,  -0.03000, steer angle,  -2.74180, steer setpt,  -0.36066, steer cmd,  -0.01393, 
step,     149, dt,   0.31348, cte,  -0.04520, steer angle,  -0.79320, steer setpt,  -0.30764, steer cmd,  -0.02304, 
step,     150, dt,   0.01277, cte,  -0.26660, steer angle,   0.08800, steer setpt,   2.41164, steer cmd,   0.02993, 
step,     151, dt,   0.01249, cte,  -0.26660, steer angle,   0.08800, steer setpt,   2.35197, steer cmd,   0.05752, 
step,     152, dt,   0.01477, cte,  -0.27240, steer angle,   1.18470, steer setpt,   2.34475, steer cmd,   0.06463, 
step,     153, dt,   0.01301, cte,  -0.27780, steer angle,   1.87440, steer setpt,   2.51129, steer cmd,   0.07161, 
step,     154, dt,   0.01272, cte,  -0.27780, steer angle,   1.87440, steer setpt,   2.43020, steer cmd,   0.07995, 
step,     155, dt,   0.01439, cte,  -0.28260, steer angle,   2.22650, steer setpt,  -0.11271, steer cmd,   0.02202, 
step,     156, dt,   0.01411, cte,  -0.28690, steer angle,   2.43520, steer setpt,  -0.04500, steer cmd,  -0.00804, 
step,     157, dt,   0.31452, cte,  -0.28690, steer angle,   2.43520, steer setpt,  -0.09871, steer cmd,  -0.04418, 
step,     158, dt,   0.01335, cte,  -0.34800, steer angle,   0.23520, steer setpt,   0.59580, steer cmd,  -0.01405, 
step,     159, dt,   0.01169, cte,  -0.35150, steer angle,  -0.66810, steer setpt,   0.67566, steer cmd,   0.00712, 
step,     160, dt,   0.01182, cte,  -0.35150, steer angle,  -0.66810, steer setpt,   0.65609, steer cmd,   0.02360, 
step,     161, dt,   0.01340, cte,  -0.35470, steer angle,   0.61440, steer setpt,   0.68024, steer cmd,   0.01375, 
step,     162, dt,   0.01365, cte,  -0.35770, steer angle,   1.02620, steer setpt,   0.75442, steer cmd,   0.00976, 
step,     163, dt,   0.01498, cte,  -0.35770, steer angle,   1.02620, steer setpt,   0.04813, steer cmd,  -0.00946, 
step,     164, dt,   0.01334, cte,  -0.36050, steer angle,   0.68030, steer setpt,   0.05494, steer cmd,  -0.01376, 
step,     165, dt,   0.01292, cte,  -0.36320, steer angle,   0.19980, steer setpt,   0.10303, steer cmd,  -0.01136, 
step,     166, dt,   0.01307, cte,  -0.36320, steer angle,   0.19980, steer setpt,   0.08026, steer cmd,  -0.01442, 
step,     167, dt,   0.01475, cte,  -0.36580, steer angle,   0.15230, steer setpt,   0.09046, steer cmd,  -0.01475, 
step,     168, dt,   0.01420, cte,  -0.36840, steer angle,   0.07590, steer setpt,   0.13716, steer cmd,  -0.01295, 
step,     169, dt,   0.01565, cte,  -0.37100, steer angle,   0.06760, steer setpt,   0.15078, steer cmd,  -0.01185, 
step,     170, dt,   0.01254, cte,  -0.37100, steer angle,   0.06760, steer setpt,   0.13389, steer cmd,  -0.01110, 
step,     171, dt,   0.01315, cte,  -0.37340, steer angle,   0.14010, steer setpt,   0.17822, steer cmd,  -0.01076, 
step,     172, dt,   0.01328, cte,  -0.37590, steer angle,   0.15880, steer setpt,   0.19305, steer cmd,  -0.01025, 
